Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2018-2019,610221.0,Daniel Webster Elementary School,,,,,,,280.0,25.0,32.0,25.0,21.0,27.0,27.0,34.0,24.0,25.0,15.0,25.0,0.0,0.0,0.0,0.0
2018-2019,610073.0,Ellen Mitchell Elementary School,,,,,,,420.0,8.0,29.0,31.0,29.0,52.0,31.0,54.0,58.0,53.0,48.0,27.0,0.0,0.0,0.0,0.0
2018-2019,610503.0,Frazier Prospective IB Magnet ES,,,,,,,203.0,0.0,0.0,20.0,13.0,29.0,31.0,33.0,27.0,18.0,15.0,17.0,0.0,0.0,0.0,0.0
2018-2019,609854.0,Frederic Chopin Elementary School,,,,,,,391.0,11.0,28.0,25.0,40.0,39.0,38.0,44.0,47.0,45.0,44.0,30.0,0.0,0.0,0.0,0.0
2018-2019,610293.0,Genevieve Melody Elementary School,,,,,,,430.0,25.0,48.0,40.0,46.0,45.0,40.0,33.0,45.0,45.0,35.0,28.0,0.0,0.0,0.0,0.0
2018-2019,610202.0,George W Tilton Elementary School,,,,,,,308.0,16.0,22.0,28.0,24.0,35.0,47.0,32.0,26.0,27.0,21.0,30.0,0.0,0.0,0.0,0.0
2018-2019,610192.0,Harriet Beecher Stowe Elementary School,,,,,,,635.0,22.0,60.0,65.0,55.0,56.0,61.0,74.0,57.0,67.0,63.0,55.0,0.0,0.0,0.0,0.0
2018-2019,609797.0,Jacob Beidler Elementary School,,,,,,,397.0,21.0,51.0,28.0,32.0,33.0,50.0,37.0,36.0,34.0,34.0,41.0,0.0,0.0,0.0,0.0
2018-2019,610044.0,James Russell Lowell Elementary School,,,,,,,400.0,25.0,35.0,29.0,35.0,38.0,34.0,39.0,39.0,38.0,36.0,52.0,0.0,0.0,0.0,0.0
2018-2019,610271.0,Jensen Elementary Scholastic Academy,,,,,,,376.0,7.0,28.0,26.0,37.0,40.0,36.0,40.0,44.0,47.0,42.0,29.0,0.0,0.0,0.0,0.0
2018-2019,609954.0,John Milton Gregory Elementary School,,,,,,,341.0,13.0,29.0,31.0,28.0,23.0,46.0,31.0,31.0,38.0,42.0,29.0,0.0,0.0,0.0,0.0
2018-2019,610313.0,Jose De Diego Elementary Community Academy,,,,,,,588.0,28.0,61.0,53.0,51.0,64.0,49.0,59.0,58.0,54.0,59.0,52.0,0.0,0.0,0.0,0.0
2018-2019,609925.0,Joseph Kellman Corporate Community ES,,,,,,,304.0,15.0,36.0,23.0,18.0,26.0,30.0,30.0,35.0,29.0,31.0,31.0,0.0,0.0,0.0,0.0
2018-2019,610133.0,Laura S Ward Elementary School,,,,,,,388.0,16.0,33.0,32.0,35.0,31.0,50.0,42.0,42.0,39.0,34.0,34.0,0.0,0.0,0.0,0.0
2018-2019,610034.0,Lawndale Elementary Community Academy,,,,,,,231.0,18.0,30.0,19.0,21.0,18.0,16.0,24.0,19.0,31.0,15.0,20.0,0.0,0.0,0.0,0.0
2018-2019,609907.0,Leif Ericson Elementary Scholastic Academy,,,,,,,498.0,35.0,42.0,45.0,46.0,46.0,55.0,46.0,56.0,50.0,36.0,41.0,0.0,0.0,0.0,0.0
2018-2019,610055.0,Michael Faraday Elementary School,,,,,,,245.0,14.0,18.0,26.0,21.0,23.0,31.0,19.0,25.0,29.0,19.0,20.0,0.0,0.0,0.0,0.0
2018-2019,610234.0,Richard Yates Elementary School,,,,,,,375.0,4.0,22.0,29.0,33.0,33.0,38.0,46.0,53.0,53.0,27.0,37.0,0.0,0.0,0.0,0.0
2018-2019,610056.0,Roswell B Mason Elementary School,,,,,,,361.0,18.0,25.0,32.0,31.0,37.0,42.0,39.0,45.0,39.0,26.0,27.0,0.0,0.0,0.0,0.0
2018-2019,610100.0,West Park Elementary Academy,,,,,,,558.0,3.0,35.0,55.0,52.0,54.0,69.0,65.0,57.0,61.0,50.0,57.0,0.0,0.0,0.0,0.0
2018-2019,610251.0,Willa Cather Elementary School,,,,,,,369.0,12.0,19.0,30.0,43.0,28.0,45.0,29.0,44.0,47.0,37.0,35.0,0.0,0.0,0.0,0.0
2018-2019,610123.0,William Penn Elementary School,,,,,,,280.0,9.0,39.0,22.0,21.0,22.0,36.0,18.0,25.0,35.0,26.0,27.0,0.0,0.0,0.0,0.0
2018-2019,610229.0,A.N. Pritzker School,,,,,,,733.0,1.0,17.0,56.0,75.0,72.0,77.0,81.0,89.0,88.0,81.0,96.0,0.0,0.0,0.0,0.0
2018-2019,609947.0,Alexander Graham Elementary School,,,,,,,411.0,11.0,28.0,27.0,31.0,41.0,44.0,44.0,40.0,54.0,51.0,40.0,0.0,0.0,0.0,0.0
2018-2019,610060.0,Andrew Jackson Elementary Language Academy,,,,,,,530.0,0.0,0.0,58.0,59.0,64.0,64.0,64.0,65.0,64.0,44.0,48.0,0.0,0.0,0.0,0.0
2018-2019,610009.0,Galileo Math & Science Scholastic Academy ES,,,,,,,565.0,0.0,0.0,63.0,70.0,71.0,71.0,64.0,58.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0
2018-2019,610107.0,James Otis Elementary School,,,,,,,405.0,14.0,23.0,33.0,39.0,36.0,47.0,32.0,37.0,47.0,44.0,53.0,0.0,0.0,0.0,0.0
2018-2019,609959.0,John Charles Haines Elementary School,,,,,,,682.0,1.0,19.0,61.0,57.0,71.0,74.0,90.0,73.0,77.0,78.0,81.0,0.0,0.0,0.0,0.0
2018-2019,610180.0,John M Smyth Elementary School,,,,,,,482.0,25.0,54.0,57.0,42.0,41.0,57.0,44.0,39.0,52.0,42.0,29.0,0.0,0.0,0.0,0.0
2018-2019,609828.0,Jonathan Burr Elementary School,,,,,,,476.0,16.0,37.0,58.0,53.0,52.0,58.0,50.0,53.0,40.0,33.0,26.0,0.0,0.0,0.0,0.0
2018-2019,609777.0,Phillip D Armour Elementary School,,,,,,,265.0,5.0,29.0,34.0,21.0,33.0,22.0,31.0,25.0,26.0,21.0,18.0,0.0,0.0,0.0,0.0
2018-2019,610138.0,Pulaski International School of Chicago,,,,,,,898.0,1.0,37.0,98.0,106.0,104.0,106.0,80.0,98.0,99.0,84.0,85.0,0.0,0.0,0.0,0.0
2018-2019,609979.0,Robert Healy Elementary School,,,,,,,1410.0,0.0,0.0,144.0,152.0,137.0,185.0,168.0,164.0,161.0,157.0,142.0,0.0,0.0,0.0,0.0
2018-2019,610252.0,Robert Nathaniel Dett Elementary School,,,,,,,310.0,18.0,24.0,18.0,35.0,29.0,28.0,40.0,27.0,37.0,32.0,22.0,0.0,0.0,0.0,0.0
2018-2019,610029.0,Rodolfo Lozano Bilingual & International Ctr ES,,,,,,,186.0,6.0,12.0,18.0,8.0,21.0,13.0,27.0,15.0,20.0,22.0,24.0,0.0,0.0,0.0,0.0
2018-2019,610405.0,Suder Montessori Magnet ES,,,,,,,379.0,31.0,35.0,33.0,35.0,39.0,51.0,37.0,30.0,40.0,20.0,28.0,0.0,0.0,0.0,0.0
2018-2019,609896.0,Thomas Drummond Elementary School,,,,,,,351.0,35.0,35.0,38.0,35.0,41.0,34.0,31.0,30.0,31.0,25.0,16.0,0.0,0.0,0.0,0.0
2018-2019,610121.0,Washington Irving Elementary School,,,,,,,385.0,15.0,19.0,23.0,34.0,32.0,45.0,40.0,45.0,46.0,41.0,45.0,0.0,0.0,0.0,0.0
2018-2019,609812.0,William H Brown Elementary School,,,,,,,226.0,1.0,14.0,19.0,12.0,23.0,31.0,18.0,20.0,33.0,27.0,28.0,0.0,0.0,0.0,0.0
2018-2019,610308.0,Wilma Rudolph Elementary Learning Center,,,,,,,78.0,7.0,8.0,7.0,9.0,9.0,13.0,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,609966.0,Charles G Hammond Elementary School,,,,,,,384.0,13.0,28.0,31.0,36.0,43.0,31.0,35.0,39.0,50.0,41.0,37.0,0.0,0.0,0.0,0.0
2018-2019,610063.0,Cyrus H McCormick Elementary School,,,,,,,610.0,9.0,54.0,58.0,81.0,117.0,93.0,96.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610227.0,Eli Whitney Elementary School,,,,,,,899.0,0.0,52.0,58.0,81.0,69.0,112.0,79.0,122.0,111.0,119.0,96.0,0.0,0.0,0.0,0.0
2018-2019,610215.0,Francisco I Madero Middle School,,,,,,,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,108.0,93.0,0.0,0.0,0.0,0.0
2018-2019,609920.0,Gerald Delgado Kanoon Elementary Magnet School,,,,,,,544.0,2.0,18.0,33.0,47.0,54.0,68.0,70.0,63.0,61.0,60.0,68.0,0.0,0.0,0.0,0.0
2018-2019,610125.0,Irma C Ruiz Elementary School,,,,,,,666.0,15.0,35.0,52.0,52.0,73.0,57.0,73.0,71.0,76.0,95.0,67.0,0.0,0.0,0.0,0.0
2018-2019,610216.0,John A Walsh Elementary School,,,,,,,300.0,12.0,23.0,25.0,28.0,29.0,27.0,33.0,31.0,33.0,29.0,30.0,0.0,0.0,0.0,0.0
2018-2019,610228.0,John Greenleaf Whittier Elementary School,,,,,,,204.0,5.0,12.0,15.0,15.0,13.0,23.0,22.0,18.0,24.0,29.0,28.0,0.0,0.0,0.0,0.0
2018-2019,610184.0,John Spry Elementary Community School,,,,,,,510.0,14.0,22.0,42.0,45.0,63.0,38.0,57.0,49.0,63.0,57.0,60.0,0.0,0.0,0.0,0.0
2018-2019,609950.0,Josefa Ortiz De Dominguez Elementary School,,,,,,,519.0,35.0,57.0,140.0,131.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,609938.0,Joseph E Gary Elementary School,,,,,,,1111.0,22.0,41.0,0.0,0.0,0.0,143.0,165.0,181.0,203.0,163.0,193.0,0.0,0.0,0.0,0.0
2018-2019,609872.0,Manuel Perez Elementary School,,,,,,,316.0,10.0,29.0,41.0,25.0,27.0,29.0,35.0,30.0,30.0,22.0,38.0,0.0,0.0,0.0,0.0
2018-2019,610017.0,Maria Saucedo Elementary Scholastic Academy,,,,,,,940.0,24.0,42.0,77.0,94.0,93.0,95.0,92.0,107.0,113.0,102.0,101.0,0.0,0.0,0.0,0.0
2018-2019,610329.0,Orozco Fine Arts & Sciences Elementary School,,,,,,,542.0,15.0,17.0,23.0,30.0,29.0,32.0,29.0,31.0,116.0,110.0,110.0,0.0,0.0,0.0,0.0
2018-2019,609867.0,Peter Cooper Elementary Dual Language Academy,,,,,,,418.0,10.0,32.0,55.0,68.0,63.0,64.0,53.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610013.0,Pilsen Elementary Community Academy,,,,,,,307.0,2.0,15.0,33.0,27.0,33.0,31.0,29.0,29.0,36.0,40.0,32.0,0.0,0.0,0.0,0.0
2018-2019,609921.0,Telpochcalli Elementary School,,,,,,,275.0,2.0,18.0,27.0,21.0,33.0,25.0,33.0,34.0,24.0,34.0,24.0,0.0,0.0,0.0,0.0
2018-2019,609967.0,William F Finkl Elementary School,,,,,,,318.0,9.0,25.0,29.0,38.0,28.0,39.0,39.0,28.0,25.0,36.0,22.0,0.0,0.0,0.0,0.0
2018-2019,609993.0,Agustin Lara Elementary Academy,,,,,,,410.0,5.0,35.0,40.0,37.0,35.0,45.0,40.0,50.0,46.0,35.0,42.0,0.0,0.0,0.0,0.0
2018-2019,610317.0,Brighton Park Elementary School,,,,,,,399.0,2.0,18.0,32.0,31.0,43.0,43.0,44.0,53.0,44.0,45.0,44.0,0.0,0.0,0.0,0.0
2018-2019,610353.0,Calmeca Academy of Fine Arts and Dual Language,,,,,,,777.0,15.0,38.0,74.0,74.0,74.0,87.0,75.0,95.0,83.0,75.0,87.0,0.0,0.0,0.0,0.0
2018-2019,610170.0,Columbia Explorers Elementary Academy,,,,,,,985.0,16.0,62.0,81.0,64.0,93.0,104.0,95.0,128.0,111.0,119.0,112.0,0.0,0.0,0.0,0.0
2018-2019,609909.0,Edward Everett Elementary School,,,,,,,153.0,5.0,19.0,30.0,26.0,14.0,18.0,18.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610319.0,Evergreen Academy Middle School,,,,,,,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,99.0,107.0,0.0,0.0,0.0,0.0
2018-2019,610096.0,Florence Nightingale Elementary School,,,,,,,1243.0,35.0,86.0,111.0,114.0,111.0,127.0,126.0,147.0,131.0,134.0,121.0,0.0,0.0,0.0,0.0
2018-2019,610532.0,Irene C. Hernandez Middle School for the Advancement of Science,,,,,,,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,311.0,331.0,0.0,0.0,0.0,0.0
2018-2019,609983.0,James Hedges Elementary School,,,,,,,610.0,23.0,46.0,39.0,58.0,60.0,59.0,71.0,67.0,67.0,60.0,60.0,0.0,0.0,0.0,0.0
2018-2019,610174.0,James Shields Elementary School,,,,,,,689.0,23.0,69.0,91.0,92.0,116.0,141.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610559.0,James Shields Middle School,,,,,,,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,133.0,127.0,163.0,0.0,0.0,0.0,0.0
2018-2019,609964.0,John H Hamline Elementary School,,,,,,,547.0,26.0,26.0,44.0,65.0,59.0,55.0,48.0,61.0,54.0,61.0,48.0,0.0,0.0,0.0,0.0
2018-2019,609876.0,Nathan S Davis Elementary School,,,,,,,733.0,41.0,64.0,68.0,71.0,57.0,64.0,82.0,73.0,80.0,69.0,64.0,0.0,0.0,0.0,0.0
2018-2019,609952.0,Nathanael Greene Elementary School,,,,,,,414.0,10.0,22.0,53.0,53.0,51.0,72.0,65.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610239.0,Richard J Daley Elementary Academy,,,,,,,563.0,1.0,16.0,58.0,37.0,63.0,60.0,53.0,68.0,76.0,68.0,63.0,0.0,0.0,0.0,0.0
2018-2019,610157.0,Sidney Sawyer Elementary School,,,,,,,1457.0,0.0,0.0,110.0,127.0,126.0,145.0,185.0,186.0,197.0,177.0,204.0,0.0,0.0,0.0,0.0
2018-2019,610226.0,Socorro Sandoval Elementary School,,,,,,,891.0,1.0,51.0,105.0,127.0,115.0,152.0,166.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610589.0,Sor Juana Ines de la Cruz ES,,,,,,,92.0,0.0,0.0,32.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,609855.0,Walter S Christopher Elementary School,,,,,,,375.0,0.0,0.0,20.0,25.0,47.0,43.0,43.0,48.0,55.0,45.0,49.0,0.0,0.0,0.0,0.0
2018-2019,610167.0,William H Seward Communication Arts Academy ES,,,,,,,616.0,4.0,31.0,38.0,64.0,61.0,70.0,63.0,76.0,77.0,75.0,57.0,0.0,0.0,0.0,0.0
2018-2019,610175.0,Beulah Shoesmith Elementary School,,,,,,,355.0,0.0,0.0,29.0,61.0,50.0,57.0,59.0,45.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,609969.0,Bret Harte Elementary School,,,,,,,329.0,11.0,35.0,23.0,29.0,26.0,29.0,32.0,32.0,37.0,47.0,28.0,0.0,0.0,0.0,0.0
2018-2019,610590.0,Bronzeville Classical Elementary School,,,,,,,89.0,0.0,0.0,28.0,25.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610345.0,Carter G Woodson South Elementary School,,,,,,,334.0,0.0,19.0,22.0,28.0,29.0,47.0,29.0,37.0,48.0,38.0,37.0,0.0,0.0,0.0,0.0
2018-2019,610030.0,Charles Kozminski Elementary Community Academy,,,,,,,258.0,23.0,27.0,16.0,29.0,24.0,21.0,13.0,22.0,29.0,23.0,31.0,0.0,0.0,0.0,0.0
2018-2019,609819.0,Edmond Burke Elementary School,,,,,,,414.0,20.0,54.0,33.0,37.0,35.0,45.0,39.0,39.0,53.0,33.0,26.0,0.0,0.0,0.0,0.0
2018-2019,610246.0,Edward Beasley Elementary Magnet Academic Center,,,,,,,1044.0,46.0,76.0,72.0,99.0,105.0,115.0,108.0,125.0,122.0,91.0,85.0,0.0,0.0,0.0,0.0
2018-2019,610065.0,Emmett Louis Till Math and Science Academy,,,,,,,330.0,8.0,30.0,31.0,21.0,38.0,36.0,26.0,43.0,38.0,30.0,29.0,0.0,0.0,0.0,0.0
2018-2019,610110.0,Ida B Wells Preparatory Elementary Academy,,,,,,,364.0,7.0,47.0,32.0,34.0,37.0,37.0,30.0,30.0,42.0,33.0,35.0,0.0,0.0,0.0,0.0
2018-2019,610276.0,Irvin C Mollison Elementary School,,,,,,,281.0,3.0,15.0,14.0,24.0,32.0,32.0,36.0,27.0,29.0,41.0,28.0,0.0,0.0,0.0,0.0
2018-2019,610256.0,Jackie Robinson Elementary School,,,,,,,137.0,6.0,33.0,30.0,26.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,609891.0,James R Doolittle Jr Elementary School,,,,,,,263.0,16.0,21.0,28.0,25.0,25.0,35.0,25.0,25.0,20.0,18.0,25.0,0.0,0.0,0.0,0.0
2018-2019,609894.0,John B Drake Elementary School,,,,,,,333.0,12.0,25.0,36.0,27.0,39.0,38.0,34.0,23.0,45.0,25.0,29.0,0.0,0.0,0.0,0.0
2018-2019,609919.0,John Fiske Elementary School,,,,,,,433.0,28.0,48.0,36.0,42.0,34.0,50.0,39.0,44.0,41.0,30.0,41.0,0.0,0.0,0.0,0.0
2018-2019,610126.0,John J Pershing Elementary Humanities Magnet,,,,,,,575.0,20.0,30.0,50.0,40.0,65.0,75.0,66.0,57.0,66.0,55.0,51.0,0.0,0.0,0.0,0.0
2018-2019,610237.0,Ludwig Van Beethoven Elementary School,,,,,,,322.0,19.0,33.0,21.0,35.0,23.0,36.0,24.0,33.0,40.0,24.0,34.0,0.0,0.0,0.0,0.0
2018-2019,610090.0,Phillip Murray Elementary Language Academy,,,,,,,495.0,0.0,0.0,53.0,57.0,54.0,53.0,56.0,57.0,61.0,59.0,45.0,0.0,0.0,0.0,0.0
2018-2019,609987.0,Thomas A Hendricks Elementary Community Academy,,,,,,,238.0,15.0,22.0,23.0,20.0,24.0,20.0,22.0,27.0,22.0,20.0,23.0,0.0,0.0,0.0,0.0
2018-2019,610143.0,William C Reavis Math & Science Specialty ES,,,,,,,257.0,16.0,35.0,23.0,26.0,22.0,20.0,21.0,27.0,18.0,26.0,23.0,0.0,0.0,0.0,0.0
2018-2019,610142.0,William H Ray Elementary School,,,,,,,712.0,7.0,65.0,65.0,70.0,76.0,70.0,73.0,71.0,76.0,73.0,66.0,0.0,0.0,0.0,0.0
2018-2019,609977.0,Woodlawn Community Elementary School,,,,,,,207.0,5.0,29.0,25.0,25.0,25.0,26.0,26.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610185.0,Adlai E Stevenson Elementary School,,,,,,,1210.0,17.0,58.0,92.0,104.0,110.0,135.0,142.0,122.0,148.0,146.0,136.0,0.0,0.0,0.0,0.0
2018-2019,609788.0,Alice L Barnard Computer Math & Science Ctr ES,,,,,,,264.0,2.0,18.0,24.0,26.0,30.0,33.0,26.0,31.0,23.0,30.0,21.0,0.0,0.0,0.0,0.0
2018-2019,610084.0,Annie Keller Regional Gifted Center,,,,,,,225.0,0.0,0.0,0.0,22.0,27.0,29.0,29.0,29.0,29.0,30.0,30.0,0.0,0.0,0.0,0.0
2018-2019,610287.0,Ashburn Community Elementary School,,,,,,,452.0,0.0,19.0,26.0,34.0,63.0,56.0,38.0,59.0,65.0,47.0,45.0,0.0,0.0,0.0,0.0
2018-2019,609871.0,Barbara Vick Early Childhood & Family Center,,,,,,,339.0,151.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,610087.0,Blair Early Childhood Center,,,,,,,231.0,73.0,91.0,39.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-2019,609839.0,Carroll-Rosenwald Specialty Elementary School,,,,,,,489.0,11.0,30.0,40.0,48.0,40.0,52.0,54.0,51.0,48.0,57.0,58.0,0.0,0.0,0.0,0.0
2018-2019,609879.0,Charles Gates Dawes Elementary School,,,,,,,964.0,23.0,45.0,82.0,81.0,103.0,108.0,116.0,107.0,121.0,104.0,74.0,0.0,0.0,0.0,0.0
2018-2019,610347.0,Claremont Academy Elementary School,,,,,,,458.0,3.0,17.0,37.0,57.0,47.0,59.0,56.0,48.0,61.0,38.0,35.0,0.0,0.0,0.0,0.0
2018-2019,610077.0,Donald Morrill Math & Science Elementary School,,,,,,,599.0,5.0,35.0,57.0,55.0,47.0,73.0,58.0,79.0,73.0,62.0,55.0,0.0,0.0,0.0,0.0
2018-2019,610352.0,Durkin Park Elementary School,,,,,,,676.0,3.0,35.0,57.0,65.0,70.0,73.0,78.0,77.0,85.0,74.0,59.0,0.0,0.0,0.0,0.0
2018-2019,610006.0,Edward N Hurley Elementary School,,,,,,,852.0,9.0,42.0,75.0,69.0,87.0,73.0,99.0,99.0,98.0,106.0,95.0,0.0,0.0,0.0,0.0
2018-2019,610195.0,Elizabeth H Sutherland Elementary School,,,,,,,604.0,0.0,0.0,70.0,63.0,58.0,66.0,70.0,73.0,82.0,63.0,59.0,0.0,0.0,0.0,0.0
2018-2019,609908.0,Esmond Elementary School,,,,,,,256.0,11.0,9.0,23.0,13.0,26.0,30.0,27.0,24.0,27.0,33.0,33.0,0.0,0.0,0.0,0.0
2018-2019,610057.0,Fairfield Elementary Academy,,,,,,,562.0,0.0,20.0,50.0,60.0,53.0,60.0,66.0,63.0,67.0,60.0,63.0,0.0,0.0,0.0,0.0
2018-2019,610067.0,Francis M McKay Elementary School,,,,,,,775.0,27.0,56.0,65.0,78.0,71.0,96.0,74.0,83.0,93.0,78.0,54.0,0.0,0.0,0.0,0.0
2018-2019,609861.0,Henry R Clissold Elementary School,,,,,,,511.0,0.0,17.0,31.0,54.0,49.0,61.0,64.0,58.0,63.0,57.0,57.0,0.0,0.0,0.0,0.0
2018-2019,609893.0,John C Dore Elementary School,,,,,,,701.0,2.0,17.0,69.0,65.0,75.0,82.0,68.0,80.0,84.0,75.0,84.0,0.0,0.0,0.0,0.0
2018-2019,610207.0,John H Vanderpoel Elementary Magnet School,,,,,,,255.0,0.0,0.0,23.0,31.0,26.0,26.0,33.0,29.0,28.0,25.0,34.0,0.0,0.0,0.0,0.0
2018-2019,610016.0,Kate S Kellogg Elementary School,,,,,,,269.0,0.0,0.0,28.0,30.0,30.0,28.0,36.0,31.0,32.0,27.0,27.0,0.0,0.0,0.0,0.0
2018-2019,609807.0,Lionel Hampton Fine & Performing Arts ES,,,,,,,521.0,0.0,0.0,48.0,48.0,55.0,57.0,66.0,64.0,49.0,56.0,78.0,0.0,0.0,0.0,0.0
2018-2019,610206.0,Mark Twain Elementary School,,,,,,,1086.0,5.0,34.0,85.0,92.0,109.0,118.0,135.0,136.0,129.0,121.0,122.0,0.0,0.0,0.0,0.0
2018-2019,609832.0,Michael M Byrne Elementary School,,,,,,,687.0,0.0,0.0,73.0,65.0,49.0,84.0,81.0,68.0,82.0,85.0,100.0,0.0,0.0,0.0,0.0
2018-2019,609960.0,Nathan Hale Elementary School,,,,,,,900.0,0.0,0.0,73.0,85.0,99.0,97.0,112.0,112.0,106.0,113.0,103.0,0.0,0.0,0.0,0.0
2018-2019,609981.0,Phoebe Apperson Hearst Elementary School,,,,,,,356.0,28.0,24.0,34.0,32.0,36.0,32.0,37.0,29.0,34.0,40.0,30.0,0.0,0.0,0.0,0.0
2018-2019,610588.0,Robert J. Richardson Middle School,,,,,,,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,319.0,272.0,271.0,0.0,0.0,0.0,0.0
2018-2019,609956.0,Robert L Grimes Elementary School,,,,,,,442.0,0.0,20.0,50.0,42.0,37.0,41.0,54.0,52.0,57.0,43.0,46.0,0.0,0.0,0.0,0.0
2018-2019,610109.0,William Bishop Owen Scholastic Academy ES,,,,,,,259.0,0.0,0.0,25.0,29.0,29.0,29.0,29.0,30.0,30.0,31.0,27.0,0.0,0.0,0.0,0.0
2018-2019,609869.0,Anna R. Langford Community Academy,,,,,,,238.0,12.0,21.0,20.0,23.0,22.0,33.0,28.0,22.0,22.0,20.0,15.0,0.0,0.0,0.0,0.0
2018-2019,610037.0,Arthur A Libby Elementary School,,,,,,,344.0,0.0,0.0,26.0,35.0,46.0,40.0,36.0,40.0,35.0,42.0,44.0,0.0,0.0,0.0,0.0
2018-2019,609941.0,Asa Philip Randolph Elementary School,,,,,,,498.0,14.0,33.0,42.0,49.0,51.0,63.0,41.0,60.0,50.0,43.0,52.0,0.0,0.0,0.0,0.0
2018-2019,610290.0,Benjamin E Mays Elementary Academy,,,,,,,400.0,11.0,24.0,36.0,45.0,44.0,56.0,35.0,41.0,42.0,27.0,39.0,0.0,0.0,0.0,0.0
2018-2019,610238.0,Carrie Jacobs Bond Elementary School,,,,,,,268.0,14.0,22.0,31.0,19.0,26.0,29.0,24.0,25.0,26.0,27.0,25.0,0.0,0.0,0.0,0.0
2018-2019,609986.0,Charles R Henderson Elementary School,,,,,,,280.0,15.0,22.0,21.0,23.0,31.0,31.0,28.0,21.0,34.0,26.0,28.0,0.0,0.0,0.0,0.0
2018-2019,609897.0,Charles W Earle Elementary School,,,,,,,352.0,25.0,28.0,42.0,24.0,41.0,42.0,36.0,27.0,32.0,30.0,25.0,0.0,0.0,0.0,0.0
2018-2019,609790.0,Clara Barton Elementary School,,,,,,,386.0,7.0,29.0,33.0,26.0,24.0,59.0,36.0,38.0,46.0,41.0,47.0,0.0,0.0,0.0,0.0
2018-2019,610223.0,Daniel S Wentworth Elementary School,,,,,,,433.0,18.0,34.0,37.0,38.0,45.0,46.0,48.0,48.0,38.0,40.0,41.0,0.0,0.0,0.0,0.0
2018-2019,610299.0,Dr. Martin L. King Jr Academy of Social Justice,,,,,,,229.0,10.0,20.0,28.0,20.0,22.0,24.0,18.0,22.0,23.0,20.0,22.0,0.0,0.0,0.0,0.0
2018-2019,609924.0,Fort Dearborn Elementary School,,,,,,,358.0,24.0,19.0,29.0,27.0,35.0,44.0,32.0,37.0,45.0,41.0,25.0,0.0,0.0,0.0,0.0
2018-2019,609927.0,Foster Park Elementary School,,,,,,,356.0,17.0,36.0,39.0,35.0,41.0,26.0,38.0,36.0,39.0,31.0,18.0,0.0,0.0,0.0,0.0
2018-2019,610112.0,Francis W Parker Elementary Community Academy,,,,,,,504.0,43.0,54.0,46.0,52.0,49.0,54.0,51.0,46.0,41.0,36.0,32.0,0.0,0.0,0.0,0.0
2018-2019,609864.0,John W Cook Elementary School,,,,,,,351.0,0.0,28.0,31.0,29.0,35.0,44.0,39.0,42.0,49.0,22.0,32.0,0.0,0.0,0.0,0.0
2018-2019,610019.0,Joshua D Kershaw Elementary School,,,,,,,272.0,14.0,25.0,28.0,32.0,28.0,28.0,26.0,23.0,22.0,21.0,25.0,0.0,0.0,0.0,0.0
2018-2019,609793.0,Lillian R. Nicholson STEM Academy,,,,,,,461.0,6.0,25.0,44.0,47.0,47.0,70.0,52.0,44.0,53.0,40.0,33.0,0.0,0.0,0.0,0.0
2018-2019,610108.0,Luke O'Toole Elementary School,,,,,,,343.0,12.0,28.0,33.0,35.0,23.0,45.0,31.0,30.0,46.0,31.0,29.0,0.0,0.0,0.0,0.0
