Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2005-2006,610269.0,,,,,,6910.0,Mccutcheon,353.0,,,,43.0,37.0,43.0,43.0,37.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610070.0,,,,,,4800.0,Mcpherson,729.0,,,,69.0,65.0,76.0,72.0,80.0,73.0,90.0,86.0,0.0,0.0,0.0,0.0
2005-2006,610094.0,,,,,,5070.0,Nettelhorst,384.0,,,,56.0,39.0,30.0,24.0,17.0,29.0,25.0,33.0,0.0,0.0,0.0,0.0
2005-2006,610284.0,,,,,,7060.0,New Field,655.0,,,,151.0,150.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610122.0,,,,,,5360.0,Peirce,960.0,,,,101.0,106.0,89.0,102.0,91.0,99.0,94.0,75.0,0.0,0.0,0.0,0.0
2005-2006,610141.0,,,,,,5550.0,Ravenswood,478.0,,,,37.0,49.0,45.0,45.0,35.0,57.0,59.0,78.0,0.0,0.0,0.0,0.0
2005-2006,610147.0,,,,,,5630.0,Rogers,589.0,,,,50.0,59.0,59.0,67.0,57.0,56.0,60.0,54.0,0.0,0.0,0.0,0.0
2005-2006,610187.0,,,,,,6040.0,Stewart,396.0,,,,53.0,45.0,38.0,48.0,36.0,37.0,23.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610189.0,,,,,,6060.0,Stockton,589.0,,,,71.0,66.0,56.0,44.0,53.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610191.0,,,,,,6070.0,Stone,632.0,,,,68.0,89.0,64.0,77.0,74.0,81.0,59.0,58.0,0.0,0.0,0.0,0.0
2005-2006,610196.0,,,,,,6130.0,Swift,707.0,,,,72.0,81.0,80.0,77.0,71.0,92.0,86.0,87.0,0.0,0.0,0.0,0.0
2005-2006,610205.0,,,,,,6230.0,Trumbull,549.0,,,,56.0,46.0,59.0,51.0,42.0,66.0,66.0,57.0,0.0,0.0,0.0,0.0
2005-2006,610220.0,,,,,,6370.0,Waters,421.0,,,,34.0,44.0,43.0,40.0,45.0,51.0,40.0,50.0,0.0,0.0,0.0,0.0
2005-2006,610156.0,,,,,,5700.0,"Armstrong, L.",193.0,,,,0.0,0.0,30.0,56.0,53.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609830.0,,,,,,2550.0,Brunson,806.0,,,,100.0,110.0,106.0,123.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609818.0,,,,,,2450.0,Burbank,1313.0,,,,155.0,134.0,167.0,127.0,139.0,168.0,117.0,115.0,0.0,0.0,0.0,0.0
2005-2006,609795.0,,,,,,2230.0,"Clark, G. R.",384.0,,,,47.0,43.0,39.0,44.0,39.0,49.0,34.0,32.0,0.0,0.0,0.0,0.0
2005-2006,610367.0,,,,,,8050.0,DePriest,706.0,,,,74.0,75.0,84.0,80.0,67.0,78.0,70.0,59.0,0.0,0.0,0.0,0.0
2005-2006,610245.0,,,,,,6630.0,Douglass HS,737.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,158.0,195.0,215.0,119.0,50.0,0.0
2005-2006,609904.0,,,,,,3220.0,Ellington,598.0,,,,57.0,79.0,75.0,63.0,68.0,67.0,55.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609906.0,,,,,,3230.0,Emmet,611.0,,,,49.0,64.0,56.0,50.0,60.0,71.0,76.0,89.0,0.0,0.0,0.0,0.0
2005-2006,609975.0,,,,,,3840.0,Hay ,588.0,,,,87.0,41.0,87.0,77.0,66.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610000.0,,,,,,4060.0,Howe,696.0,,,,75.0,71.0,96.0,57.0,78.0,73.0,67.0,70.0,0.0,0.0,0.0,0.0
2005-2006,610020.0,,,,,,4280.0,Key,496.0,,,,64.0,76.0,94.0,64.0,63.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610305.0,,,,,,7320.0,Leland,237.0,,,,60.0,58.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610036.0,,,,,,4450.0,Lewis,1066.0,,,,108.0,103.0,138.0,111.0,115.0,134.0,93.0,89.0,0.0,0.0,0.0,0.0
2005-2006,610041.0,,,,,,4510.0,"Locke, J",1310.0,,,,140.0,128.0,167.0,156.0,167.0,134.0,149.0,128.0,0.0,0.0,0.0,0.0
2005-2006,610043.0,,,,,,4530.0,Lovett,624.0,,,,60.0,59.0,59.0,59.0,55.0,71.0,62.0,85.0,0.0,0.0,0.0,0.0
2005-2006,610046.0,,,,,,4560.0,Lyon,1243.0,,,,169.0,156.0,168.0,127.0,131.0,109.0,112.0,102.0,0.0,0.0,0.0,0.0
