Year,Network,School_ID,School_Name,White_n,White_pct,Black_n,Black_pct,Asian_n,Asian_pct,NativeAmerican_n,NativeAmerican_pct,Hispanic_n,Hispanic_pct,Mexican_n,Mexican_pct,PuertoRican_n,PuertoRican_pct,Cuban_n,Cuban_pct,OtherHispanic_n,OtherHispanic_pct,MENA_n,MENA_pct,Multiracial_n,Multiracial_pct,Hawaiian/Pacific Islander_n,Hawaiian/Pacific Islander_pct,Asian/Pacific Islander (Retired)_n,Asian/Pacific Islander (Retired)_pct,Not Available_n,Not Available_pct
1999-2000,,,,16.0,1.3,88.0,7.0,0.0,0.0,0.0,0.0,1146.0,91.7,1089.0,87.0,33.0,3.0,0.0,0.0,24.0,1.9,,,,,,,,,,
1999-2000,,,,0.0,0.0,725.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,686.0,99.9,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,,,,,,,,,,
1999-2000,,,,0.0,0.0,496.0,99.8,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,
1999-2000,,,,1.0,0.1,811.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,3.0,0.4,402.0,51.1,2.0,0.3,0.0,0.0,380.0,48.3,205.0,26.0,150.0,19.0,2.0,0.0,23.0,2.9,,,,,,,,,,
1999-2000,,,,231.0,74.5,62.0,20.0,2.0,0.6,4.0,1.3,11.0,3.5,8.0,3.0,2.0,1.0,0.0,0.0,1.0,0.3,,,,,,,,,,
1999-2000,,,,0.0,0.0,489.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,433.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,122.0,21.0,17.0,2.9,74.0,12.8,0.0,0.0,367.0,63.3,227.0,39.0,28.0,5.0,4.0,1.0,108.0,18.6,,,,,,,,,,
