Network,Total_Enrollment,State English Learners_N,State English Learners_Pct,Students with Disabilities_N,Students with Disabilities_Pct,Economically Disadvantaged_N,Economically Disadvantaged_Pct,Year
Contract,1178,67,0.056876061120543296,171,0.14516129032258066,875,0.7427843803056027,2023-2024
Options,6098,706,0.11577566415218105,1168,0.19153820924893408,5608,0.9196457855034438,2023-2024
Network 1,21999,7017,0.318969044,3443,0.156507114,11154,0.5070230465,2022-2023
Network 2,12038,3848,0.3196544276,1858,0.1543445755,6917,0.5745971092,2022-2023
Network 3,12856,4621,0.3594430616,2104,0.1636589919,10459,0.8135500933,2022-2023
Network 4,17545,3981,0.2269022514,2245,0.1279566828,8166,0.4654317469,2022-2023
Network 5,8434,1581,0.1874555371,1401,0.1661133507,7185,0.85190894,2022-2023
Network 6,9514,1676,0.1761614463,1300,0.13664074,5320,0.5591759512,2022-2023
Network 7,8787,3792,0.4315466029,1558,0.1773073859,7349,0.8363491522,2022-2023
Network 8,11264,5394,0.4788707386,1800,0.1598011364,9181,0.8150745739,2022-2023
Network 9,9570,174,0.0181818182,1283,0.1340647858,7139,0.7459770115,2022-2023
Network 10,16414,4653,0.2834775192,2801,0.1706470087,11728,0.7145120019,2022-2023
Network 11,8371,213,0.0254449887,1439,0.1719029984,7047,0.8418349062,2022-2023
Network 12,10282,322,0.0313168644,1465,0.1424820074,8241,0.8014977631,2022-2023
Network 13,10635,1158,0.1088857546,1636,0.1538316878,8506,0.7998119417,2022-2023
Network 14,26149,5002,0.1912883858,4083,0.1561436384,16819,0.6431985927,2022-2023
Network 15,17042,2789,0.1636545006,2353,0.138070649,12829,0.7527872315,2022-2023
Network 16,12247,2440,0.1992324651,2244,0.1832285458,10457,0.85384175716502,2022-2023
Network 17,10738,567,0.0528031291,1738,0.1618550941,9065,0.8441981747,2022-2023
AUSL,4188,1016,0.2425978988,589,0.1406399236,3372,0.8051575931,2022-2023
ISP,37990,11246,0.2960252698,5480,0.1442484864,24753,0.6515662016,2022-2023
Charter,49232,9961,0.2023277543,7289,0.1480541111,42524,0.8637471563,2022-2023
Contract,1439,55,0.0382209868,243,0.1688672689,1087,0.7553856845,2022-2023
Options,5372,523,0.0973566642,995,0.1852196575,4985,0.9279597915,2022-2023
Network 1,20577,6339,0.3081,3018,0.1467,10155,0.4935,2021-2022
Network 2,10988,3375,0.3072,1606,0.1462,6080,0.5533,2021-2022
Network 3,11925,4009,0.3362,1829,0.1534,9247,0.7754,2021-2022
Network 4,16664,3593,0.2156,2049,0.123,7144,0.4287,2021-2022
Network 5,7668,1353,0.1764,1214,0.1583,6255,0.8157,2021-2022
Network 6,8759,1608,0.1836,1196,0.1365,5110,0.5834,2021-2022
Network 7,8493,3401,0.4004,1314,0.1547,7138,0.8405,2021-2022
Network 8,11974,5689,0.4751,1724,0.144,9582,0.8002,2021-2022
Network 9,9147,151,0.0165,1130,0.1235,6229,0.681,2021-2022
