School Information,"Includes School Name, School Type, Community Area, Network, and Opportunity Index score (where applicable).",Year,Source_File,Source_Sheet,School Name,School Type,Network,Community Area,Opportunity Index,Fall 2024 Total Enrollment,Fall 2024 K-12 Non-Cluster Enrollment,Fall 2023 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2023 to Fall 2024,Student : Teacher Ratio for Core Classroom Teachers (Unadjusted for Floor),Per-Pupil Total For Need-Based Flexible Funding (Unadjusted for Floor),Per-Pupil Total For Title I Funding,Core Classroom,Holistic (ES Only),Title I Interventionists,Supplemental Programmatic Teachers,Critical Language Teachers,Other (Misc Grant-Funded),Teachers Received on Appeal,Teacher Positions Liquidated for Discretionary Dollars (Reference Only),Principal,Asst. Principal,Clerk,Counselor,Restorative Justice Coord.,Athletic Director,Athletic Stipends,School Assistant,Part-Time Operational Position,Other Central FTEs (incl. Awarded on Appeal),Liquidated AP,Liquidated RJC,Liquidated School Assistant,Liquidated Part-Time Operations Bucket,Teachers,Asst. Principal.1,Clerk.1,Counselor.1,Restorative Justice Coord..1,Tech Coord.,Teacher/ Classroom Assistants,Other Non-Teacher Discretionary Staff,Discretionary Non-FTE Funding,Special Ed Teachers,Special Ed Paraprofessionals,Case Managers,Other Special Ed FTEs,Early Childhood Teachers,Early Childhood Paraprofessionals,Other Early Chlidhood FTEs,Early College (ECCE) Positions,College & Career Coaches,STEM Coords & Teachers,IB Coord.,RGC & RGC-EL Coord.,Personalized Learning Coord.,Montessori Program Coord.,Montessori Positions,JROTC Positions,Bilingual & Dual Language Coordinators,STLS Advocates,Instructional Support Buckets,Lead Coaches,Lunchroom,Security,Whole School Safety Funding,School and District Improvement Grant (SDI) Allocation,School Internal Account Funded Teacher Positions,School Internal Account Funded Non-Teacher Positions,Fall 2024 PE/PK Enrollment,Fall 2024 K-12 Enrollment,Fall 2023 Total Enrollment,Change in Total Enrollment from Fall 2023 to Fall 2024,Centrally Allocated General Education Teachers,Fall 2025 Total Enrollment,Fall 2025 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2024 to Fall 2025,Loss Cap Teachers,Critical/World Language Teachers,School Operations Support - Add'l Flexible Funding,Other Central FTEs (incl. Class Size TA's),School Internal Account Funded AP Positions,Fall 2025 PE/PK Enrollment,Fall 2025 K-12 Enrollment,Change in Total Enrollment from Fall 2024 to Fall 2025,Centrally Allocated Teachers,Other Centrally-Allocated Positions
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,WOODLAWN,Elementary,Network 9,WOODLAWN,35.0,167.0,149.0,142.0,7.0,24:1,641.0,419.5,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183565.1,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,WOODSON,Elementary,Network 9,GRAND BOULEVARD,38.0,294.0,241.0,246.0,-5.0,22:1,677.0,428.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186521.05,8.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,1.0,3.0,2.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,WORLD LANGUAGE HS,High,Network 15,SOUTH LAWNDALE,46.0,377.0,377.0,336.0,41.0,18:1,1707.0,428.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.0,486446.05,8.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,0.0,6.0,160000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,YATES,Elementary,Network 5,LOGAN SQUARE,40.0,271.0,214.0,279.0,-65.0,22:1,701.0,423.75,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105048.6,12.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,YOUNG ES,Elementary,Network 3,AUSTIN,33.0,408.0,381.0,377.0,4.0,24:1,617.0,394.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70926.881,6.0,7.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,5.0,1.0,0.0,61219.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,YOUNG HS,High,Network 15,NEAR WEST SIDE,15.0,2210.0,2127.0,2135.0,-8.0,21:1,1149.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,3.0,5.0,0.0,1.0,0.0,4.0,232557.35,17.0,35.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,4.0,6.0,150000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ZAPATA,Elementary,Network 7,SOUTH LAWNDALE,39.0,522.0,470.0,488.0,-18.0,22:1,689.0,398.25,22.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,241072.5,9.0,24.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,Projected Additional Resources Budgeted Citywide,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,3000000.0,100.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,CATALPA,Specialty,Network 1,PORTAGE PARK,,223.0,,,,,,0.0,,,0.0,,,,0.0,,1.0,1.0,1.0,1.0,,,0.0,,1.0,,,,,0.0,1.0,0.0,,0.0,,,0.0,1.0,13277.0,3.0,9.0,0.5,0.0,12.6,8.0,0.0,,,,,,,,,,1.0,0.0,18640.0,0.0,2.0,1.0,,,,,223.0,0.0,181.0,42.0,0.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,VICK,Specialty,Network 10,MORGAN PARK,,446.0,,,,,,0.0,,,0.0,,,,0.0,,1.0,2.0,3.0,1.0,,,0.0,,1.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,275182.0,5.0,17.0,2.0,0.0,27.0,13.0,1.0,,,,,,,,,,1.0,0.0,18640.0,0.0,2.0,2.0,,,,,446.0,0.0,420.0,26.0,1.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,THOMAS,Specialty,ISP,MCKINLEY PARK,,131.0,,,,,,0.0,,,0.0,,,,0.0,,1.0,1.0,1.0,1.0,,,0.0,,1.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,139999.61000000002,2.0,8.0,0.5,0.0,11.0,6.0,2.0,,,,,,,,,,2.0,0.0,18640.0,0.0,2.0,1.0,,,,,131.0,0.0,128.0,3.0,1.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,VIRTUAL ACADEMY,Specialty,ISP,VIRTUAL,,544.0,,,,,,389.75,,,2.0,,,,0.0,,1.0,2.0,2.0,2.0,,,0.0,,0.0,1.0,,,,-1.0,3.5,0.0,,0.0,,,0.0,1.0,186468.5,23.0,43.0,2.5,0.0,0.0,0.0,0.0,,,,,,,,,,2.0,0.0,18640.0,0.0,0.0,0.0,,,,,0.0,544.0,452.0,92.0,45.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,JEFFERSON HS,Alternative,Options,NEAR WEST SIDE,,191.0,,,,,,317.5,,,1.0,,,,0.0,,1.0,2.0,1.0,1.0,,,0.0,,1.0,1.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,447257.8,15.0,8.0,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,18640.0,0.5,0.0,0.0,,,,,0.0,191.0,174.0,17.0,8.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,BEARD,Specialty,Network 1,NORWOOD PARK,,396.0,,,,,,364.25,,,1.0,,,,0.0,,1.0,1.0,2.0,1.0,,,0.0,,1.0,1.0,,,,0.0,0.0,0.0,,0.0,,,1.0,0.5,163124.2,13.0,63.0,1.5,0.0,21.0,12.0,1.0,,,,,,,,,,1.0,0.0,18640.0,0.0,3.0,2.0,,,,,332.0,64.0,348.0,48.0,3.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,BLAIR,Specialty,Network 10,CLEARING,,262.0,,,,,,321.75,,,1.0,,,,0.0,,1.0,1.0,1.0,1.0,,,0.0,,1.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,194988.85,17.0,40.0,1.5,0.0,6.0,3.0,0.0,,,,,,,,,,1.0,0.0,18640.0,0.0,1.0,1.0,,,,,177.0,85.0,256.0,6.0,2.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,STOCK,Specialty,Network 1,EDISON PARK,,208.0,,,,,,0.0,,,0.0,,,,1.0,,1.0,1.0,1.0,1.0,,,0.0,,0.0,,,,,-1.0,0.0,0.0,,0.0,,,0.0,0.0,160499.6,4.0,11.0,1.0,0.0,12.0,6.0,0.0,,,,,,,,,,1.0,0.0,18640.0,0.0,1.0,0.0,,,,,208.0,0.0,212.0,-4.0,1.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,RUDOLPH,Specialty,Network 6,NEAR WEST SIDE,,100.0,,,,,,423.75,,,1.0,,,,0.0,,1.0,1.0,1.0,1.0,,,0.0,,1.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,163578.2,13.0,39.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.5,0.0,18640.0,0.0,2.0,1.0,,,,,27.0,73.0,99.0,1.0,2.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,FISHER,Specialty,Network 4,LINCOLN PARK,,139.0,,,,,,0.0,,,0.0,,,,0.0,,1.0,1.0,1.0,1.0,,,0.0,,1.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,1.0,58663.05,2.0,5.0,0.5,0.0,9.0,5.3,0.0,,,,,,,,,,0.5,0.0,18640.0,0.0,2.0,1.0,,,,,139.0,0.0,124.0,15.0,0.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,NORTHSIDE LEARNING HS,Specialty,Network 14,NORTH PARK,,269.0,,,,,,385.5,,,1.0,,,,0.0,,1.0,1.0,2.0,1.0,,,60000.0,,1.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,357207.5,32.5,87.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,18640.0,0.0,3.0,1.0,,,,,0.0,269.0,277.0,-8.0,4.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,SOUTHSIDE HS,Specialty,Network 16,WEST ENGLEWOOD,,376.0,,,,,,411.0,,,1.0,,,,0.0,,1.0,2.0,2.0,1.0,,,60000.0,,0.0,,,,,-1.0,1.0,0.0,,0.0,,,0.0,1.0,556866.5,42.0,76.0,3.0,2.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,18640.0,1.0,2.0,3.0,,,,,0.0,376.0,370.0,6.0,2.5,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,YORK HS,Alternative,Options,SOUTH LAWNDALE,,161.0,,,,,,283.5,,,1.0,,,,0.0,,1.0,2.0,2.0,1.0,,,0.0,,1.0,2.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,440830.25,9.0,6.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,18640.0,0.5,0.0,0.0,,,,,0.0,161.0,165.0,-4.0,9.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,SIMPSON HS,Alternative,Options,NEAR WEST SIDE,,34.0,,,,,,470.5,,,1.0,,,,0.0,,1.0,1.0,1.0,1.0,,,0.0,,0.0,,,,,-1.0,1.0,0.0,,1.0,,,1.0,0.1,166599.25,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,18640.0,0.0,1.0,0.9,,,,,0.0,34.0,22.0,12.0,2.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,VAUGHN HS,Specialty,Network 14,PORTAGE PARK,,225.0,,,,,,372.75,,,1.0,,,,0.0,,1.0,1.0,1.0,1.0,,,60000.0,,1.0,,,,,0.0,1.0,0.0,,0.0,,,0.0,1.0,268030.8,23.0,58.0,2.0,3.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,18640.0,0.0,2.0,2.0,,,,,0.0,225.0,214.0,11.0,4.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,GRAHAM HS,Specialty,Network 14,NEAR SOUTH SIDE,,259.0,,,,,,411.0,,,1.0,,,,0.0,,1.0,1.0,2.0,1.0,,,60000.0,,1.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,492569.0,33.0,53.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,18640.0,0.0,2.0,1.0,,,,,0.0,259.0,255.0,4.0,2.0,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Alt-Spec,PEACE AND EDUCATION HS,Alternative,Options,NEW CITY,,191.0,,,,,,368.5,,,1.0,,,,3.0,,1.0,1.0,3.0,1.0,,,0.0,,1.0,1.0,,,,0.0,0.0,1.0,,0.0,,,0.0,1.0,355766.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,18640.0,1.0,2.0,4.0,,,,,0.0,191.0,146.0,45.0,3.0,,,,,,,,,,,,,
Enrollment,"Includes Fall 2025 Enrollment, Fall 2025 Non-Cluster K-12 Enrollment, Fall 2024 Non-Cluster K-12 Enrollment, and Change in Non-Cluster K-12 Enrollment from Fall 2024 to Fall 2025. Cluster students are not counted in the core teacher allocation as schools receive cluster teachers through their Special Education allocations. While Non-Cluster K-12 Enrollment is used for core/holistic teacher allocations, K-12 Enrollment is used for centrally-provided administrative positions and discretionary funding allocations. Alt-Spec have unique enrollment patterns denoted specifically in that tab. ",2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrally Allocated Non-Teacher Positions,Includes all non-teaching centrally-allocated foundation positions and liquidations when available. ,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discretionary-Purchased Resources,Includes all positions purchased with discretionary funds plus funds allocated toward non-FTE costs.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Education,Includes centrally-allocated positions to support Special Education needs.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood,Includes centrally-allocated resources to support Early Childhood programming.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programmatic Resources,Includes centrally-allocated program-specific allocations.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Development,Includes centrally-allocated resourcing for teacher professional development.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operations,Includes centrally-allocated Security and Lunchroom positions and Whole School Safety funding.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDI,Includes anticipated ISBE School and District Improvement grant allocations. ,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Accounts,Includes teachers and non-teacher positions purchased through school internal account funding.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projected Additional Resources Budgeted Citywide,Includes positions and dollars projected for school-based assignment during the beginning of SY2027. Included in the citywide count since exact school placements will be determined later in the Fiscal Year based on evolving school needs.,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The ""Alt-Spec"" tab contains the relevant resourcing information for our alternative and specialty schools, who are provided resources specific to the type of program they are running.",,2027,DISTRICT_MANAGED_2027.xlsx,Overview Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,COLUMBIA EXPLORERS,Elementary,ISP,BRIGHTON PARK,35.0,,617.0,,,25:1,653.0,454.0,23.0,5.0,1.0,,,,0.0,-2.0,1.0,1.0,3.0,1.0,0.0,0.0,,0.0,,,0.0,-1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,370083.62,9.0,13.0,1.0,0.0,7.0,4.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15000.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,,,,,,671.0,574.0,-43.0,3.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,ADDAMS,Elementary,Network 13,EAST SIDE,31.0,,475.0,,,25:1,605.0,437.5,19.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198196.0,7.0,12.0,1.0,0.0,5.0,3.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15000.0,1.0,4.0,2.0,0.0,31000.0,0.0,0.0,,,,,,518.0,455.0,-20.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,TUBMAN,Elementary,Network 4,LAKE VIEW,22.0,,286.0,,,27:1,497.0,0.0,10.0,3.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36333.7,8.0,14.0,0.5,0.0,1.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,,,,,,283.0,263.0,-23.0,0.0,1.0,20000.0,1.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,ALCOTT ES,Elementary,Network 4,LINCOLN PARK,19.0,,468.0,,,27:1,461.0,0.0,18.0,4.0,0.0,,,,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238975.1,10.0,9.0,0.5,0.0,6.0,5.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,4.0,2.0,0.0,0.0,1.5,0.0,,,,,,569.0,475.0,7.0,0.0,2.0,20000.0,1.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,ARMOUR,Elementary,Network 6,BRIDGEPORT,32.0,,226.0,,,25:1,617.0,393.5,10.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52651.5,7.0,10.0,0.5,0.0,3.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,229.0,205.0,-21.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,NEW FIELD,Elementary,Network 2,ROGERS PARK,32.0,,446.0,,,25:1,617.0,421.0,17.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137370.09,8.0,14.0,1.0,0.0,5.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15000.0,0.0,5.0,1.0,0.0,15000.0,0.0,0.0,,,,,,512.0,414.0,-32.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,ARMSTRONG G,Elementary,ISP,WEST RIDGE,29.0,,1213.0,,,25:1,581.0,437.5,52.0,11.0,2.0,,,,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.5,634720.95,17.0,29.0,1.5,0.0,6.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15000.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,,,,,,1375.0,1279.0,66.0,0.0,0.0,60000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,AUDUBON,Elementary,Network 4,NORTH CENTER,15.0,,444.0,,,27:1,413.0,0.0,16.0,4.0,0.0,,,,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36240.5,8.0,7.0,0.5,0.0,11.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15000.0,0.0,4.0,2.85,0.0,0.0,3.0,0.0,,,,,,591.0,418.0,-26.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,AVALON PARK,Elementary,Network 12,AVALON PARK,33.0,,205.0,,,25:1,629.0,520.0,10.0,3.0,0.0,,,,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56135.42,6.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,208.0,197.0,-8.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,BARNARD,Elementary,Network 10,BEVERLY,29.0,,224.0,,,25:1,581.0,448.5,10.0,3.0,1.0,,,,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111829.8,5.0,5.0,0.5,0.0,2.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,250.0,233.0,9.0,0.0,0.0,20000.0,0.0,0.0,,,,,
,,2027,DISTRICT_MANAGED_2027.xlsx,Traditional,BARRY,Elementary,Network 4,HERMOSA,42.0,,422.0,,,23:1,737.0,454.0,17.0,4.0,1.0,,,,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,369018.19,10.0,20.0,1.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15000.0,0.0,3.0,2.0,0.0,20000.0,0.0,0.0,,,,,,417.0,378.0,-44.0,0.0,0.0,20000.0,0.0,0.0,,,,,
