School Information,"Includes School Name, School Type, Community Area, Network, and Opportunity Index score (where applicable).",Year,Source_File,Source_Sheet,School Name,School Type,Network,Community Area,Opportunity Index,Fall 2024 Total Enrollment,Fall 2024 K-12 Non-Cluster Enrollment,Fall 2023 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2023 to Fall 2024,Student : Teacher Ratio for Core Classroom Teachers (Unadjusted for Floor),Per-Pupil Total For Need-Based Flexible Funding (Unadjusted for Floor),Per-Pupil Total For Title I Funding,Core Classroom,Holistic (ES Only),Title I Interventionists,Supplemental Programmatic Teachers,Critical Language Teachers,Other (Misc Grant-Funded),Teachers Received on Appeal,Teacher Positions Liquidated for Discretionary Dollars (Reference Only),Principal,Asst. Principal,Clerk,Counselor,Restorative Justice Coord.,Athletic Director,Athletic Stipends,School Assistant,Part-Time Operational Position,Other Central FTEs (incl. Awarded on Appeal),Liquidated AP,Liquidated RJC,Liquidated School Assistant,Liquidated Part-Time Operations Bucket,Teachers,Asst. Principal.1,Clerk.1,Counselor.1,Restorative Justice Coord..1,Tech Coord.,Teacher/ Classroom Assistants,Other Non-Teacher Discretionary Staff,Discretionary Non-FTE Funding,Special Ed Teachers,Special Ed Paraprofessionals,Case Managers,Other Special Ed FTEs,Early Childhood Teachers,Early Childhood Paraprofessionals,Other Early Chlidhood FTEs,Early College (ECCE) Positions,College & Career Coaches,STEM Coords & Teachers,IB Coord.,RGC & RGC-EL Coord.,Personalized Learning Coord.,Montessori Program Coord.,Montessori Positions,JROTC Positions,Bilingual & Dual Language Coordinators,STLS Advocates,Instructional Support Buckets,Lead Coaches,Lunchroom,Security,Whole School Safety Funding,School and District Improvement Grant (SDI) Allocation,School Internal Account Funded Teacher Positions,School Internal Account Funded Non-Teacher Positions,Fall 2024 PE/PK Enrollment,Fall 2024 K-12 Enrollment,Fall 2023 Total Enrollment,Change in Total Enrollment from Fall 2023 to Fall 2024,Centrally Allocated General Education Teachers,Fall 2025 Total Enrollment,Fall 2025 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2024 to Fall 2025,Loss Cap Teachers,Critical/World Language Teachers,School Operations Support - Add'l Flexible Funding,Other Central FTEs (incl. Class Size TA's),School Internal Account Funded AP Positions,Fall 2025 PE/PK Enrollment,Fall 2025 K-12 Enrollment,Change in Total Enrollment from Fall 2024 to Fall 2025,Centrally Allocated Teachers,Other Centrally-Allocated Positions
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ARMOUR,Elementary,Network 6,BRIDGEPORT,30.0,256.0,226.0,228.0,-2.0,24:1,581.0,381.25,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91694.0,7.0,8.0,0.5,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ARMSTRONG G,Elementary,ISP,WEST RIDGE,26.0,1302.0,1213.0,1166.0,47.0,26:1,533.0,377.0,47.0,10.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,300300.97,13.0,21.0,1.5,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18640.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ASHBURN,Elementary,Network 10,ASHBURN,34.0,326.0,254.0,260.0,-6.0,24:1,629.0,364.25,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7000000000000002,3860.1,9.0,22.0,1.0,0.0,2.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ASHE,Elementary,Network 12,CHATHAM,39.0,380.0,348.0,338.0,10.0,22:1,689.0,411.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,174455.54,5.0,13.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,3.0,2.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,AUDUBON,Elementary,Network 4,NORTH CENTER,17.0,606.0,444.0,450.0,-6.0,26:1,425.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,115457.0,8.0,6.0,0.5,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,AUSTIN CCA HS,High,Network 15,AUSTIN,45.0,140.0,140.0,172.0,-32.0,18:1,1689.0,419.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,60000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.35,1.0,0.0,0.1,41257.44,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,1.0,3.0,4.9,160000.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,AVALON PARK,Elementary,Network 12,AVALON PARK,36.0,223.0,205.0,179.0,26.0,24:1,653.0,436.5,10.0,3.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.59,0.0,73840.5,7.0,7.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,1.0,2.0,2.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,AVONDALE-LOGANDALE,Elementary,Network 4,AVONDALE,27.0,458.0,434.0,458.0,-24.0,24:1,545.0,419.5,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,175158.34,7.0,14.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,AZUELA,Elementary,Network 10,WEST LAWN,32.0,690.0,690.0,707.0,-17.0,24:1,605.0,355.75,29.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,226285.8,9.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,BACK OF THE YARDS HS,High,ISP,NEW CITY,35.0,1015.0,1015.0,1001.0,14.0,19:1,1509.0,411.0,54.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,5.17,285107.88,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,5.0,5.83,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
