school_year,network,metric,pct,n
2023-2024,Network 8,Economically Disadvantaged,0.7874,9016
2023-2024,Network 9,Economically Disadvantaged,0.7191,7028
2023-2024,Network 10,Economically Disadvantaged,0.7001,12078
2023-2024,Network 11,Economically Disadvantaged,0.8177,6699
2023-2024,Network 12,Economically Disadvantaged,0.7963,8129
2023-2024,Network 13,Economically Disadvantaged,0.7899,9270
2023-2024,Network 14,Economically Disadvantaged,0.63,17808
2023-2024,Network 15,Economically Disadvantaged,0.7174,15151
2023-2024,Network 16,Economically Disadvantaged,0.8359,9716
2023-2024,Network 17,Economically Disadvantaged,0.8342,8796
2023-2024,ISP,Economically Disadvantaged,0.6574,20856
2023-2024,Charter,Economically Disadvantaged,0.8575,41503
2023-2024,Contract,Economically Disadvantaged,0.7428,875
2023-2024,Options,Economically Disadvantaged,0.9196,5608
2022-2023,Network 1,Economically Disadvantaged,0.507,11154
2022-2023,Network 2,Economically Disadvantaged,0.5746,6917
2022-2023,Network 3,Economically Disadvantaged,0.8136,10459
2022-2023,Network 4,Economically Disadvantaged,0.4654,8166
2022-2023,Network 5,Economically Disadvantaged,0.8519,7185
2022-2023,Network 6,Economically Disadvantaged,0.5592,5320
2022-2023,Network 7,Economically Disadvantaged,0.8363,7349
2022-2023,Network 8,Economically Disadvantaged,0.8151,9181
2022-2023,Network 9,Economically Disadvantaged,0.746,7139
2022-2023,Network 10,Economically Disadvantaged,0.7145,11728
2022-2023,Network 11,Economically Disadvantaged,0.8418,7047
2022-2023,Network 12,Economically Disadvantaged,0.8015,8241
2022-2023,Network 13,Economically Disadvantaged,0.7998,8506
2022-2023,Network 14,Economically Disadvantaged,0.6432,16819
2022-2023,Network 15,Economically Disadvantaged,0.7528,12829
2022-2023,Network 16,Economically Disadvantaged,0.8538,10457
2022-2023,Network 17,Economically Disadvantaged,0.8442,9065
2022-2023,AUSL,Economically Disadvantaged,0.8052,3372
2022-2023,ISP,Economically Disadvantaged,0.6516,24753
2022-2023,Charter,Economically Disadvantaged,0.8637,42524
2022-2023,Contract,Economically Disadvantaged,0.7554,1087
2022-2023,Options,Economically Disadvantaged,0.928,4985
2021-2022,Network 1,Economically Disadvantaged,0.4935,10155
2021-2022,Network 2,Economically Disadvantaged,0.5533,6080
2021-2022,Network 3,Economically Disadvantaged,0.7754,9247
2021-2022,Network 4,Economically Disadvantaged,0.4287,7144
2021-2022,Network 5,Economically Disadvantaged,0.8157,6255
2021-2022,Network 6,Economically Disadvantaged,0.5834,5110
2021-2022,Network 7,Economically Disadvantaged,0.8405,7138
2021-2022,Network 8,Economically Disadvantaged,0.8002,9582
2021-2022,Network 9,Economically Disadvantaged,0.681,6229
2021-2022,Network 10,Economically Disadvantaged,0.6828,11389
2021-2022,Network 11,Economically Disadvantaged,0.7878,6787
2021-2022,Network 12,Economically Disadvantaged,0.7586,7383
2021-2022,Network 13,Economically Disadvantaged,0.76,7849
2021-2022,Network 14,Economically Disadvantaged,0.6241,16258
2021-2022,Network 15,Economically Disadvantaged,0.7853,11890
2021-2022,Network 16,Economically Disadvantaged,0.8123,10023
2021-2022,Network 17,Economically Disadvantaged,0.7871,8391
2021-2022,AUSL,Economically Disadvantaged,0.8071,6221
2021-2022,ISP,Economically Disadvantaged,0.6157,29962
2021-2022,Charter,Economically Disadvantaged,0.8201,41338
2021-2022,Contract,Economically Disadvantaged,0.6956,1051
2021-2022,Options,Economically Disadvantaged,0.7861,5014
